ce,ganguli,subparva,similarity,note,first_words_ganguli
6.113,6.119,Bhagavat-Gita Parva,0.41,,"Sanjaya said, ""When the combatants of both armies, strong in number, w"
6.114,6.120,Bhagavat-Gita Parva,0.23,,"Sanjaya said, ""Thus all the Pandavas, placing Sikhandin before them pi"
6.115,6.121;6.122,Bhagavat-Gita Parva,0.21,,"Dhritarashtra said, 'Alas, what was the state of (my) warriors, O Sanj"
6.116,6.123,Bhagavat-Gita Parva,0.17,,"""Sanjaya said,--'After the night had passed away, O monarch, all the k"
6.117,6.124,Bhagavat-Gita Parva,0.18,,"""Sanjaya said,--'After Santanu's son Bhishma, O monarch, had become si"
7.1,7.1,Dronabhisheka Parva,0.23,,"OM! HAVING BOWED down unto Narayan, and unto that most exalted of male"
7.2,7.2,Dronabhisheka Parva,0.19,,"""Sanjaya said, 'Then Adhiratha's son of the Suta caste, knowing that B"
7.3,7.3,Dronabhisheka Parva,0.36,,"""Sanjaya said, 'Beholding the grandsire, viz., the venerable Bhishma, "
7.4,7.4,Dronabhisheka Parva,0.34,,"""Sanjaya said, 'Unto him who was talking thus, the aged Kuru grandsire"
7.5,7.5;7.6,Dronabhisheka Parva,0.28,,"""Sanjaya said, 'Beholding that tiger among men, viz., Karna, mounted o"
7.6,7.7,Dronabhisheka Parva,0.30,,"""Drona said, 'I know the Vedas with their six branches. I know also th"
7.7,7.8,Dronabhisheka Parva,0.36,,"""Sanjaya said, 'Beholding Drona thus slaying steeds and drivers and ca"
7.8,7.9,Dronabhisheka Parva,0.16,,"""Dhritarashtra said, 'How did the Pandavas and the Srinjayas slay Dron"
7.9,7.10,Dronabhisheka Parva,0.28,,"""Vaisampayana said, 'Having addressed the Suta's son in this way, Dhri"
7.10,7.11,Dronabhisheka Parva,0.49,,"""Dhritarashtra said, 'Hear, O Sanjaya, the celestial feats of Vasudeva"
7.11,7.12,Dronabhisheka Parva,0.16,,"""Sanjaya said, 'Yes, as I saw everything with my own eyes, I will desc"
7.12,7.13,Dronabhisheka Parva,0.16,,"""Sanjaya said, 'After Drona had promised the kings seizure under those"
7.13,7.14,Dronabhisheka Parva,0.39,,"""Sanjaya said, 'Then Drona, causing a great confusion in the Pandava h"
7.14,7.15,Dronabhisheka Parva,0.31,,"""Dhritarashtra said, 'Thou hast, O Sanjaya, described to me many excel"
7.15,7.16,Dronabhisheka Parva,0.47,,"""Sanjaya said, 'Beholding that army of thine exceedingly broken, the v"
7.16,7.17,Dronabhisheka Parva,0.38,,"""Sanjaya said, 'The troops of both the armies, having proceeded to the"
7.17,7.18,Dronabhisheka Parva,0.31,,"""Sanjaya said, 'The Samsaptakas,[32] then, filled with joy, took their"
7.18,7.19,Dronabhisheka Parva,0.48,,"""Sanjaya said, 'Beholding those Samsaptakas once more return to the fi"
7.19,7.20,Dronabhisheka Parva,0.27,,"""Sanjaya said, 'Having passed the night, that mighty car-warrior viz.,"
7.20,7.21,Dronabhisheka Parva,0.52,,"""Sanjaya continued, 'Then Drona, beholding Yudhishthira near him fearl"
7.21,7.22,Dronabhisheka Parva,0.36,,"""Dhritarashtra said, 'When the Pandavas were broken by Bharadwaja's so"
7.22,7.23,Dronabhisheka Parva,0.39,,"""Dhritarashtra said, 'Tell me, O Sanjaya, the distinctive indications "
7.23,7.23,Dronabhisheka Parva,0.08,merged,"""Dhritarashtra said, 'Tell me, O Sanjaya, the distinctive indications "
7.24,7.23,Dronabhisheka Parva,0.36,merged,"""Dhritarashtra said, 'Tell me, O Sanjaya, the distinctive indications "
7.25,7.24,Dronabhisheka Parva,0.43,,"""Dhritarashtra said, 'When the troops were thus engaged and thus proce"
7.26,7.25,Dronabhisheka Parva,0.44,,"""Sanjaya said, 'Thou askest me about the feats of Arjuna in battle. Li"
7.27,7.26,Dronabhisheka Parva,0.46,,"""Sanjaya said, 'At Partha's desire, Krishna then urged his white steed"
7.28,7.27,Dronabhisheka Parva,0.52,,"""Dhritarashtra said, 'Filled with rage, what did Partha, the son of Pa"
7.29,7.28,Dronabhisheka Parva,0.38,,"""Sanjaya said, Having slain Bhagadatta who was ever the favourite and "
7.30,7.29,Dronabhisheka Parva,0.34,,"""Dhritarashtra said, 'When those divisions (of mine), O Sanjaya, were "
7.31,7.30,Dronabhisheka Parva,0.27,,"""Sanjaya said, 'Vrikodara, however, could not brook that slaughter of "
7.32,7.31,Abhimanyu-badha Parva,0.11,,"""Sanjaya said, 'Having been first broken by Arjuna of immeasurable pro"
7.33,7.32,Abhimanyu-badha Parva,0.30,,"""Sanjaya said, 'Of fierce deeds in battle and above all fatigue, as pr"
7.34,7.33,Abhimanyu-badha Parva,0.50,,"""Sanjaya said, 'The Parthas then, headed by Bhimasena, approached that"
7.35,7.34,Abhimanyu-badha Parva,0.24,,"""Sanjaya said, 'Hearing these words of the intelligent Yudhishthira, t"
7.36,7.35,Abhimanyu-badha Parva,0.47,,"""Sanjaya said, 'Beholding his army routed by Subhadra's son of immeasu"
7.37,7.36,Abhimanyu-badha Parva,0.13,,"""Dhritarashtra said, 'While Arjuna's son was thus grinding, by means o"
7.38,7.37,Abhimanyu-badha Parva,0.32,,"""Dhritarashtra said, 'My heart, O Sanjaya, is agitated with different "
7.39,7.38,Abhimanyu-badha Parva,0.34,,"""Sanjaya said, 'Then the intelligent Abhimanyu, with limbs mangled wit"
7.40,7.39,Abhimanyu-badha Parva,0.35,,"""Sanjaya said, 'Then the younger brother of Karna, uttering loud roars"
7.41,7.40,Abhimanyu-badha Parva,0.29,,"""Dhritarashtra said, A mere child in years, brought up in great luxury"
7.42,7.41,Abhimanyu-badha Parva,0.20,,"""Sanjaya said, 'Thou askest me, O monarch, about the prowess of the ru"
7.43,7.42,Abhimanyu-badha Parva,0.22,,"""Sanjaya said, 'When the ruler of the Sindhus checked the Pandavas, de"
7.44,7.43,Abhimanyu-badha Parva,0.24,,"""Sanjaya said, 'Engaged in taking the lives of brave warriors, Arjuna'"
7.45,7.44,Abhimanyu-badha Parva,0.43,,"""Dhritarashtra said, 'That which thou tellest me, O Suta, about the ba"
7.46,7.45,Abhimanyu-badha Parva,0.40,,"""Dhritarashtra said, 'While the youthful and invincible son of Subhadr"
7.47,7.46,Abhimanyu-badha Parva,0.30,,"""Sanjaya said, 'Phalguni's son once more pierced Karna in the car with"
7.48,7.47;7.48,Abhimanyu-badha Parva,0.23,,"""Sanjaya said, 'That joy of Vishnu's sister (viz., Abhimanyu), that At"
7.49,7.49,Abhimanyu-badha Parva,0.45,,"""Sanjaya said, 'After the slaughter of that hero, that leader of car-d"
7.50,7.50,Abhimanyu-badha Parva,0.05,,"""Sanjaya said, 'While Kunti's son, Yudhishthira, was indulging in such"
7.51,7.51;7.52;7.53;7.54;7.55;7.56;7.57;7.58;7.59;7.60;7.61;7.62;7.63;7.64;7.65;7.66;7.67;7.68;7.69;7.70;7.71;7.72;7.73,Abhimanyu-badha Parva,0.25,,"""Sthanu said, 'O lord, thou hadst taken great care for creating divers"
7.52,7.74,Abhimanyu-badha Parva,0.22,,"""Sanjaya said, 'When the spies (of Duryodhana), having heard that loud"
7.53,7.75;7.76,Abhimanyu-badha Parva,0.39,,"""Sanjaya said, 'After Partha had vowed the death of the ruler of the S"
7.54,7.77,Abhimanyu-badha Parva,0.26,,"""Sanjaya said, 'Both Vasudeva and Dhananjaya, afflicted with sorrow an"
7.55,7.78,Abhimanyu-badha Parva,0.18,,"""Sanjaya said, 'Hearing these words of the high-souled Kesava, Subhadr"
7.56,7.79,Abhimanyu-badha Parva,0.23,,"""Sanjaya said, 'Then lord Kesava, of eyes like lotus-petals, having en"
7.57,7.80;7.81,Abhimanyu-badha Parva,0.37,,"""Sanjaya said, 'Kunti's son, Dhananjaya, of inconceivable prowess thin"
7.58,7.82,Abhimanyu-badha Parva,0.32,,"""Sanjaya said, 'While Krishna and Daruka were thus conversing together"
7.59,7.83,Abhimanyu-badha Parva,0.24,,"""Sanjaya said, 'Then king Yudhishthira, the son of Kunti, saluting Dev"
7.60,7.84,Abhimanyu-badha Parva,0.34,,"""Sanjaya said, 'While Yudhishthira, Vasudeva, and others were thus con"
7.61,7.85,Jayadratha-Vadha Parva,0.35,,"""Dhritarashtra said, 'After Abhimanyu's slaughter when the next day ca"
7.62,7.86,Jayadratha-Vadha Parva,0.24,,"""Sanjaya said, 'I will tell thee all, for everything hath been witness"
7.63,7.87,Jayadratha-Vadha Parva,0.37,,"""Sanjaya said, 'After that fight had passed away, Drona, that foremost"
7.64,7.88,Jayadratha-Vadha Parva,0.29,,"""Sanjaya said, 'After the divisions of the Kuru army had been (thus) a"
7.65,7.89,Jayadratha-Vadha Parva,0.32,,"""Dhritarashtra said, 'When the van of my army thus slaughtered by the "
7.66,7.90,Jayadratha-Vadha Parva,0.36,,"""Sanjaya said, 'Slaying the force of Duhsasana, the mighty car-warrior"
7.67,7.91,Jayadratha-Vadha Parva,0.52,,"""Sanjaya said, 'Held in check by them, that foremost of car-warriors, "
7.68,7.92,Jayadratha-Vadha Parva,0.39,,"""Sanjaya said, 'Upon the fall of Sudakshina and of the heroic Srutayud"
7.69,7.93,Jayadratha-Vadha Parva,0.51,,"""Sanjaya said, 'After the son of Kunti, impelled by the desire of slay"
7.70,7.94,Jayadratha-Vadha Parva,0.27,,"""Sanjaya said, 'After that bull among men, viz., Duryodhana, had set o"
7.71,7.95,Jayadratha-Vadha Parva,0.31,,"""Sanjaya said, 'Listen, O king, to me as I describe to thee the wonder"
7.72,7.96,Jayadratha-Vadha Parva,0.34,,"""Sanjaya said, 'When that fierce battle, causing the hair to stand on "
7.73,7.97,Jayadratha-Vadha Parva,0.36,,"""Dhritarashtra said, 'After that shafts of Drona had been cut off and "
7.74,7.98,Jayadratha-Vadha Parva,0.33,,"""Sanjaya said, 'When the sun turned in his downward course towards the"
7.75,7.99,Jayadratha-Vadha Parva,0.33,,"""Sanjaya said, 'After the high-souled son of Kunti had created that wa"
7.76,7.100,Jayadratha-Vadha Parva,0.28,,"""Sanjaya said, 'O monarch! I beholding Vasudeva and Dhananjaya penetra"
7.77,7.101,Jayadratha-Vadha Parva,0.26,,"""Vasudeva said, 'Behold, O Dhananjaya, this Suyodhana who hath transgr"
7.78,7.102,Jayadratha-Vadha Parva,0.36,,"""Sanjaya said, 'Saying these words, king Duryodhana pierced Arjuna wit"
7.79,7.103,Jayadratha-Vadha Parva,0.48,,"""Sanjaya said, 'Thy warriors, as soon as they beheld those foremost of"
7.80,7.104,Jayadratha-Vadha Parva,0.18,,"""Dhritarashtra, said, 'Describe to me, O Sanjaya, the diverse kinds of"
7.81,7.105,Jayadratha-Vadha Parva,0.34,,"""Dhritarashtra said, 'After Arjuna had got the ruler of the Sindhus wi"
7.82,7.106,Jayadratha-Vadha Parva,0.49,,"""Sanjaya said, 'Kshemadhurti, O monarch, pierced the advancing Vrihatk"
7.83,7.107,Jayadratha-Vadha Parva,0.27,,"""Sanjaya said, 'The illustrious son of Somadatta pierced each of the s"
7.84,7.108,Jayadratha-Vadha Parva,0.21,,"""Sanjaya said, 'Having fled away from Bhima, Alamvusha, in another par"
7.85,7.109,Jayadratha-Vadha Parva,0.37,,"""Dhritarashtra said, 'Tell me, O Sanjaya, how Yuyudhana rushed against"
7.86,7.110,Jayadratha-Vadha Parva,0.33,,"""Sanjaya said, 'That bull amongst the Sinis, viz., Satyaki, hearing th"
7.87,7.111,Jayadratha-Vadha Parva,0.42,,"""Sanjaya said, 'Hearing these words of the king Yudhishthira the just,"
7.88,7.112,Jayadratha-Vadha Parva,0.27,,"""Sanjaya said, 'O king, when Yuyudhana, from desire of battle proceede"
7.89,7.112,Jayadratha-Vadha Parva,0.08,merged,"""Sanjaya said, 'O king, when Yuyudhana, from desire of battle proceede"
7.90,7.113,Jayadratha-Vadha Parva,0.27,,"""Dhritarashtra said, Our army is equally possessed of many excellences"
7.91,7.114,Jayadratha-Vadha Parva,0.41,,"""Sanjaya said, 'Listen with undivided attention, O king. After the rou"
7.92,7.115,Jayadratha-Vadha Parva,0.48,,"""Sanjaya said, 'Shooting clouds of arrows, all those warriors, accompl"
7.93,7.116,Jayadratha-Vadha Parva,0.36,,"""Sanjaya said, 'While the (Kuru) host was shaken by the grandson of Si"
7.94,7.117,Jayadratha-Vadha Parva,0.49,,"""Sanjaya said, 'Having vanquished Drona and other warriors of thy army"
7.95,7.118,Jayadratha-Vadha Parva,0.45,,"""Sanjaya said, 'Then that bull of Vrishni's race, viz., the high-soule"
7.96,7.119,Jayadratha-Vadha Parva,0.51,,"""Sanjaya said, Having the vanquished the Yavanas and the Kamvojas that"
7.97,7.120,Jayadratha-Vadha Parva,0.36,,"""Dhritarashtra said, 'Beholding the grandson of Sini proceeding toward"
7.98,7.121,Jayadratha-Vadha Parva,0.32,,"""Sanjaya said, 'Beholding Duhsasana's car staying near his, the son of"
7.99,7.122,Jayadratha-Vadha Parva,0.59,,"""Sanjaya said, 'Meanwhile, O king, Duhsasana rushed against the grands"
7.100,7.123,Jayadratha-Vadha Parva,0.29,,"""Dhritarashtra said, 'Were there, O Sanjaya, no mighty car-warriors in"
7.101,7.124,Jayadratha-Vadha Parva,0.35,,"""Sanjaya said, 'In the afternoon of that day, O king, a dreadful battl"
7.102,7.125;7.126,Jayadratha-Vadha Parva,0.44,,"""Sanjaya said, 'When the army of the Pandavas was thus agitated on all"
7.103,7.127,Jayadratha-Vadha Parva,0.38,,"""Sanjaya said, 'After the son of Pandu had crossed that car-force, the"
7.104,7.128,Jayadratha-Vadha Parva,0.31,,"""Dhritarashtra said, 'While mighty Bhimasena was uttering those loud s"
7.105,7.129,Jayadratha-Vadha Parva,0.43,,"-Sanjaya said, 'After that army had (thus) been routed, and Arjuna and"
7.106,7.130,Jayadratha-Vadha Parva,0.21,,"""Sanjaya said, 'During the progress, O monarch, of that battle, making"
7.107,7.131,Jayadratha-Vadha Parva,0.23,,"""Dhritarashtra said, 'What, indeed, O Sanjaya, did Duryodhana say when"
7.108,7.132,Jayadratha-Vadha Parva,0.36,,"""Dhritarashtra said, 'I regard Bhimasena's prowess to be exceedingly w"
7.109,7.133,Jayadratha-Vadha Parva,0.36,,"""Sanjaya said, 'Then the carless Karna, thus once more completely defe"
7.110,7.134,Jayadratha-Vadha Parva,0.37,,"""Dhritarashtra said, 'I think, Destiny is supreme. Fie on exertion whi"
7.111,7.135,Jayadratha-Vadha Parva,0.36,,"""Sanjaya said, 'Beholding thy sons lying (on the field), Karna of grea"
7.112,7.136,Jayadratha-Vadha Parva,0.29,,"""Sanjaya said, 'Hearing the twang of Bhimasena's bow and the sound of "
7.113,7.137,Jayadratha-Vadha Parva,0.17,,"""Dhritarashtra said, 'O Suta, O Sanjaya, this grievous result that has"
7.114,7.138,Jayadratha-Vadha Parva,0.21,,"""Sanjaya said, 'Then Karna, O king, piercing Bhima with three arrows, "
7.115,7.139,Jayadratha-Vadha Parva,0.17,,"""Dhritarashtra said, 'Day by day, O Sanjaya, my blazing fame is being "
7.116,7.140,Jayadratha-Vadha Parva,0.42,,"""Sanjaya said, 'Then the great bowmen of the Trigarta country owning s"
7.117,7.141,Jayadratha-Vadha Parva,0.30,,"""Sanjaya said, 'Beholding Satwata, invincible in battle coming (toward"
7.118,7.142,Jayadratha-Vadha Parva,0.24,,"""Sanjaya said, 'That arm (of Bhurisravas) decked with Angada and the s"
7.119,7.143,Jayadratha-Vadha Parva,0.52,,"""Dhritarashtra said, 'Unvanquished by Drona, and Radha's son and Vikar"
7.120,7.144,Jayadratha-Vadha Parva,0.36,,"""Dhritarashtra said, 'After the Kuru warrior Bhurisravas had been slai"
7.121,7.145,Jayadratha-Vadha Parva,0.36,,"""Sanjaya said, 'Hearing the twang, resembling the loud call of Death h"
7.122,7.146,Jayadratha-Vadha Parva,0.33,,"""Dhritarashtra said, 'Tell me, O Sanjaya, what did my warriors do afte"
7.123,7.147,Jayadratha-Vadha Parva,0.19,,"""Dhritarashtra said, When such was the condition of battle, between th"
7.124,7.148,Jayadratha-Vadha Parva,0.12,,"""Sanjaya said, 'After the ruler of the Sindhus had been slain by Parth"
7.125,7.149,Jayadratha-Vadha Parva,0.31,,"""Sanjaya said, Upon the fall, O king, of the ruler of the Sindhus, thy"
7.126,7.150,Jayadratha-Vadha Parva,0.42,,"""Dhritarashtra said, 'After the ruler of the Sindhus had been slain in"
7.127,7.151,Jayadratha-Vadha Parva,0.08,,"""Sanjaya said, 'Thus urged by Drona, king Duryodhana, filled with rage"
7.128,7.152,Ghatotkacha-badha Parva,0.33,,"""Sanjaya said, 'That elephant force of thine, O king, swelling with mi"
7.129,7.153,Ghatotkacha-badha Parva,0.25,,"""Dhritarashtra said, 'Having said all those words unto my son, Duryodh"
7.130,7.154,Ghatotkacha-badha Parva,0.61,,"""Dhritarashtra said, ""When the invincible Drona, of immeasurable energ"
7.131,7.155,Ghatotkacha-badha Parva,0.35,,"""Sanjaya said, 'After his son (Bhurisravas) had been slain by Satyaki "
7.132,7.156,Ghatotkacha-badha Parva,0.46,,"""Sanjaya said, 'Beholding the sons of Drupada, as also those of Kuntib"
7.133,7.157,Ghatotkacha-badha Parva,0.37,,"""Sanjaya said, 'Beholding that vast host of the Pandavas swelling with"
7.134,7.158,Ghatotkacha-badha Parva,0.24,,"""Sanjaya said, 'Seeding his uncle thus addressed in harsh and insultin"
7.135,7.159,Ghatotkacha-badha Parva,0.20,,"""Sanjaya said, 'Thus addressed by Duryodhana, Drona's son, that warrio"
7.136,7.160,Ghatotkacha-badha Parva,0.47,,"""Sanjaya said, 'Then king Yudhishthira, and Bhimasena, the son of Pand"
7.137,7.161,Ghatotkacha-badha Parva,0.43,,"""Sanjaya said 'Beholding Somadatta shaking his large bow, Satyaki, add"
7.138,7.162,Ghatotkacha-badha Parva,0.19,,"""Sanjaya said, 'During the progress of that fierce and terrible battle"
7.139,7.163,Ghatotkacha-badha Parva,0.33,,"""Sanjaya said, 'When the field of battle which had before been envelop"
7.140,7.164,Ghatotkacha-badha Parva,0.25,,"""Sanjaya said, 'During the progress of that terrible nocturnal engagem"
7.141,7.165,Ghatotkacha-badha Parva,0.29,,"""Sanjaya said, 'Bhuri, O king, in that battle, resisted that foremost "
7.142,7.166;7.167,Ghatotkacha-badha Parva,0.35,,"'Sanjaya said, 'Karna, the son of Vikartana,[222] O king, resisted the"
7.143,7.168,Ghatotkacha-badha Parva,0.56,,"""Sanjaya said, 'Thy son, Chitrasena, O Bharata, resisted (Nakula's son"
7.144,7.169,Ghatotkacha-badha Parva,0.34,,"""Sanjaya said, 'Against Nakula who was engaged in smiting thy host, Su"
7.145,7.170,Ghatotkacha-badha Parva,0.48,,"""Sanjaya said, 'In that fierce and terrible battle, Dhrishtadyumna, O "
7.146,7.171,Ghatotkacha-badha Parva,0.44,,"""Sanjaya said, 'Then all those kings of thy army, incapable of being e"
7.147,7.172,Ghatotkacha-badha Parva,0.34,,"""Sanjaya said, 'Beholding his own army routed while being slaughtered "
7.148,7.173,Ghatotkacha-badha Parva,0.29,,"""Sanjaya said, 'Then Karna, that slayer of hostile heroes, beholding P"
7.149,7.174,Ghatotkacha-badha Parva,0.38,,"""Sanjaya said, 'Beholding the mighty-armed Ghatotkacha, O king, procee"
7.150,7.175,Ghatotkacha-badha Parva,0.30,,"""Dhritarashtra said, 'How, indeed, did that battle take place when at "
7.151,7.176,Ghatotkacha-badha Parva,0.29,,"""Sanjaya said, 'During the progress of that battle between Karna and t"
7.152,7.177,Ghatotkacha-badha Parva,0.51,,"""Sanjaya said, 'Beholding Alayudha of terrible deeds come to battle, a"
7.153,7.178,Ghatotkacha-badha Parva,0.46,,"""Sanjaya said, 'Seeing Bhima in that battle assailed by the cannibal, "
7.154,7.179,Ghatotkacha-badha Parva,0.35,,"""Sanjaya said, 'Having slain Alayudha, the Rakshasa Ghatotkacha became"
7.155,7.180,Ghatotkacha-badha Parva,0.28,,"""Sanjaya said, 'Beholding Hidimva's son slain and lying like a riven m"
7.156,7.181,Ghatotkacha-badha Parva,0.51,,"""Arjuna said, 'How, O Janardana, for our good, and by what means, were"
7.157,7.182,Ghatotkacha-badha Parva,0.37,,"""Dhritarashtra said, 'When the Suta's son had such a dart as was sure "
7.158,7.183,Ghatotkacha-badha Parva,0.37,,"""Dhritarashtra said, 'I see, O sire, that this act of Karna and Duryod"
7.159,7.184,Drona-vadha Parva,0.20,,"""Sanjaya said, 'Thus addressed by Vyasa, the heroic king Yudhishthira "
7.160,7.185,Drona-vadha Parva,0.38,,"""Sanjaya said, 'At this time Duryodhana, under the influence of wrath,"
7.161,7.186,Drona-vadha Parva,0.34,,"""Sanjaya said, 'When three-fourths of that night had worn away, the ba"
7.162,7.187,Drona-vadha Parva,0.29,,"""Sanjaya continued, 'The warrior, O king, thus clad in mail on the fie"
7.163,7.188,Drona-vadha Parva,0.43,,"""Sanjaya said, 'Then Duhsasana, filled with wrath, rushed against Saha"
7.164,7.189;7.190;7.191;7.192,Drona-vadha Parva,0.25,,"Note by S, Gautam: This section is missing from the original Gutenberg"
7.165,7.193;7.194,Drona-vadha Parva,0.28,,"""Sanjaya said, 'Beholding those feats of the Satwata hero, Duryodhana "
7.166,7.195;7.196,Drona-vadha Parva,0.28,,"""Dhritarashtra said, 'Hearing, O Sanjaya, of the slaughter, by unright"
7.167,7.197,Drona-vadha Parva,0.11,,"""Sanjaya said, 'When the weapon called Narayana was invoked, violent w"
7.168,7.198,Drona-vadha Parva,0.31,,"""Sanjaya said, 'Hearing these words of Arjuna, the mighty car-warriors"
7.169,7.199,Drona-vadha Parva,0.32,,"""Dhritarashtra said, 'That illustrious person who had duly studied the"
7.170,7.200,Drona-vadha Parva,0.20,,"""Sanjaya said, 'Then Drona's son began to cause a great carnage amongs"
7.171,7.201,Drona-vadha Parva,0.25,,"""Sanjaya said, ""Beholding Bhimasena overwhelmed by that weapon, Dhanan"
7.172,7.202,Drona-vadha Parva,0.15,,"""Dhritarashtra said, Upon the slaughter of the Atiratha, viz., Drona, "
7.173,7.203,Drona-vadha Parva,0.05,,"""Sanjaya said, 'Having battled fiercely for five days, O king, the Bra"
8.1,8.1;8.2,,0.26,,"Om! Having bowed down unto Narayana, and unto that most exalted of mal"
8.2,8.3,,0.35,,"""Sanjaya said, 'Upon the fall of the great bowman Drona, thy sons, tho"
8.3,8.4,,0.17,,"Vaishampayana said, ""Hearing this intelligence, O monarch, Dhritarasht"
8.4,8.5;8.6;8.7,,0.26,,"Vaishampayana said, ""Hearing these words, O monarch, Ambika's son Dhri"
8.5,8.8;8.9,,0.23,,"Janamejaya said, ""Having heard of Karna's fall and the slaughter of hi"
8.6,8.10,,0.23,,"""Sanjaya said, 'After the fall of the mighty bowman Drona on that day,"
8.7,8.11,,0.22,,"""Dhritarashtra said, 'After having obtained the command of the army, a"
8.8,8.12,,0.45,,"""Sanjaya said, 'Then those two vast armies, teeming with rejoicing men"
8.9,8.13,,0.39,,"""Sanjaya said, 'Then the mighty and heroic bowman Karna began to smite"
8.10,8.14,,0.59,,"""Sanjaya said, 'Srutakarman then, O king, filled with wrath, struck th"
8.11,8.15,,0.14,,"""Sanjaya said, 'Endued with the greatest activity, Drona's son, O king"
8.12,8.16;8.17,,0.30,,"""Dhritarashtra said, 'Describe to me the battle of Arjuna with the sam"
8.13,8.18,,0.41,,"""Sanjaya said, 'Meanwhile towards the northern part of the Pandava arm"
8.14,8.19,,0.24,,"""Sanjaya said, 'Wheeling round, like the planet Mercury in the curvatu"
8.15,8.20,,0.35,,"""Dhritarashtra said, 'Thou didst mention to me before the name of Pand"
8.16,8.21,,0.24,,"""Dhritarashtra said, 'When Pandya had been slain and when that foremos"
8.17,8.22;8.23;8.24,,0.43,,"""Sanjaya said, 'Many elephant-warriors riding on their beasts, urged b"
8.18,8.25;8.26,,0.38,,"""Sanjaya said, 'Against Yuyutsu who was employed in routing the vast a"
8.19,8.27;8.28,,0.46,,"""Sanjaya said, 'The white steeded (Arjuna) also, O monarch, routed thy"
8.20,8.29,,0.32,,"""Dhritarashtra said, 'I have heard from thee, O Sanjaya, of many poign"
8.21,8.30,,0.30,,"""Sanjaya said, 'Placing Karna at their van, thy warriors, difficult of"
8.22,8.31,,0.26,,"""Dhritarashtra said, 'It seems that Arjuna slew all of you at his will"
8.23,8.32,,0.20,,"""Sanjaya said, 'Thy son then, O monarch, humbly approaching that might"
8.24,8.33;8.34,,0.32,,"""'Duryodhana said, ""Listen, once more, O ruler of the Madras, to what "
8.25,8.35,,0.21,,"""'Duryodhana said, ""Even thus did that illustrious Deity, that Grandsi"
8.26,8.36;8.37;8.38;8.39,,0.37,,"""'Duryodhana said, ""This one, O Karna, will act as thy driver, this ru"
8.27,8.40,,0.22,,"""Sanjaya said, 'Thus rebuked by Shalya of immeasurable energy, the son"
8.28,8.41,,0.25,,"""Sanjaya said, 'Hearing, O sire, these words of Radha's son who deligh"
8.29,8.42,,0.11,,"""Sanjaya said, 'The high-souled son of Adhiratha, having listened unco"
8.30,8.43;8.44;8.45,,0.35,,"""Sanjaya said, 'That chastiser of foes, viz., the son of Radha, thus s"
8.31,8.46,,0.23,,"""Sanjaya said, 'Beholding then that unrivalled array of the Parthas ma"
8.32,8.47;8.48,,0.46,,"""Dhritarashtra said, 'When the two armies, duly arrayed, thus mingled "
8.33,8.49,,0.32,,"""Sanjaya said, 'Piercing through the Pandava host, Karna, surrounded b"
8.34,8.50,,0.31,,"""Sanjaya said, 'Beholding the Pandava heroes rushing impetuously towar"
8.35,8.51,,0.34,,"""Dhritarashtra said, 'Exceedingly difficult of accomplishment was that"
8.36,8.52,,0.03,,"""Sanjaya said, 'Those Kshatriyas, O monarch, harbouring feelings of an"
8.37,8.53,,0.48,,"""Sanjaya said, 'During the progress of that battle in which so many Ks"
8.38,8.54,,0.56,,"""Sanjaya said, 'Then Kritavarma, and Kripa, and the son of Drona and t"
8.39,8.55,,0.53,,"""Sanjaya said, 'Meanwhile the son of Drona (Ashvatthama), beholding Yu"
8.40,8.56;8.57,,0.36,,"""Sanjaya said, 'Meanwhile Vikartana himself, resisting Bhimasena suppo"
8.41,8.58,,0.08,,"""Sanjaya said, 'Thus raged that great battle between those lords of Ea"
8.42,8.59,,0.22,,"""Sanjaya said, 'Then the Kurus and the Srinjayas once more fearlessly "
8.43,8.60,,0.29,,"""Sanjaya said, 'Meanwhile Krishna, pointing out king Yudhishthira the "
8.44,8.61;8.62;8.63,,0.52,,"""Dhritarashtra said, 'When Bhima and Pandu's son Yudhishthira were eng"
8.45,8.64;8.65,,0.20,,"""Sanjaya said, 'Meanwhile Drona's son, surrounded by a large car-force"
8.46,8.66,,0.25,,"""'Yudhishthira said, ""Welcome, O thou that hast Devaki for thy mother,"
8.47,8.67,,0.25,,"""Sanjaya said, 'Hearing these words of the righteous king who had been"
8.48,8.68,,0.46,,"""Sanjaya said, 'Hearing that Karna of mighty energy was still alive, P"
8.49,8.69;8.70,,0.22,,"""Sanjaya said, 'Thus addressed by Yudhishthira, Kunti's son owning whi"
8.50,8.71;8.72,,0.27,,"""Sanjaya said, 'Having heard these joyful words of king Yudhishthira, "
8.51,8.73,,0.38,,"""Sanjaya said, 'Once more Keshava of immeasurable soul said these word"
8.52,8.74,,0.18,,"""Sanjaya said, 'Hearing these words of Keshava, O Bharata, Vibhatsu so"
8.53,8.75,,0.40,,"""Dhritarashtra said, 'In that awful and fathomless encounter of the Pa"
8.54,8.76,,0.29,,"""Sanjaya said, 'During the progress of the fierce engagement, Bhima, w"
8.55,8.77,,0.27,,"""Sanjaya said, 'Hearing the roars of cars and the leonine shouts (of t"
8.56,8.78,,0.36,,"""Dhritarashtra said, 'When our troops were broken in battle by Bhimase"
8.57,8.79,,0.31,,"""Sanjaya said, 'Meanwhile Arjuna, O monarch, having slain the four kin"
